input_text,toxicity,severe_toxicity,obscene,threat,insult,identity_hate,time
The praise and worship with Pastor BJ just sets up a God Filled service with the charismatic and awesome Pastor Maiden ... Going the Past 18 months has made our Marriage Stronger and Faith Magical,0.000578,0.000129,0.000194,0.000129,0.000171,0.000144,0.000537
My fav Mexican place by far!  They make the most delicious chicken tortilla soup and tacos I've ever eaten. Fresh ingredients and the owners are super nice. Love this place!,0.004197,0.000134,0.000519,0.000142,0.000321,0.000322,0.000648
"My roommate and I stopped by here  on a Saturday night with my groupon to see how this Fuego is holding up. I've been to Fuego Bistro before, and it was amazing, so this one at CityScape had a lot to live up to.  I'd say this place gets less than 5 stars based on atmosphere. The place kind of feels like a cafeteria and the vibe from the entire patron situation is just bleh. The best part about the atmosphere was my own company and that of our server, Brandon, who was really helpful and chatty.  Also, while my roommate got the Chile Relleno, which was okay in my opinion, I had the Fuego Tacos with pernil (which apparently is pork), and they were delicious. I absolutely loved and devoured them.   Some other key points: The drinks were very tasty and parking is very easy. We parked at a meter (which is free after 5p), and I'm told they can validate the parking ticket for the underground parking.  Overall, I'd come back here. I wouldn't go here for a sexy date or if looking for something fancy, but definitely for a tasty dinner with great service.",0.002533,0.00014,0.000539,0.000133,0.000306,0.000214,0.000629
"I went to La Boca two night in a row, Sunday/Monday, when I had to be in Tempe.  The first night our party of six were enjoying our pizzas when I casually mentioned that we'd ordered one pizza without mushrooms and some had found their way unto it.  Within a a couple of minutes the manager was at our table with an apology and an offer to comp a couple of deserts.  Geez, it was just an errant mushroom!  In fact, the pizza here is very good and they clearly go the extra mile in trying to accommodate their customers. I was please enough to return the next night with my wife and share a Margarita pizza (which is very good).  Wanting something sweet to finish off our meal, we opted for the chocolate mousse.  While it may not have been the ultimate dessert it was quite good and we enjoyed several bites before deciding we'd had enough to satisfy without adding unnecessarily to our growing waistlines.  Seeing we'd only eaten a bit, the waitress comped the dessert.  We explained we'd been happy with the mousse and were just full but she took it off the bill just the same.   Now, there are a lot of choices where to eat and a whole lot of pizza joints, but for my money a little extra courtesy goes a long way.  Couple that with good food and reasonable prices and La Bocca is sure to see more of me.",0.001033,0.000109,0.000212,0.000111,0.000191,0.00015,0.000655
"The Phoenix metro area is definitely not known for authentic Asian cuisine. China Magic Noodle House, however, is the real deal. This place reminds me of the Taiwanese delis that I used to go to in LA, as well as noodle houses that I've frequented in Taipei.  They have a great selection of cold noodle, hot noodle and soup noodle dishes. And, a variety of ways to have your noodles (I typically order the thick noodles or shaved noodles). There's always a veggie on the whiteboard to try and the fried tofu is very tender and tasty with the dipping sauce.  If you're looking for a reasonably priced, ethnically authentic meal in Phoenix (especially the East Valley), China Magic Noodle House should be near the top, if not first, on your list. the only negative that I would have about this place is that there isn't enough choices where chicken is the main protein.",0.000727,0.000115,0.000178,0.000121,0.000177,0.000151,0.00064
Found the Tuck Shop on my Urban Spoon AP and what a grand surprise it ended up being!   In the heart of Coronado this little house has been transformed to a true Phoenix jewel! The food was amazing..we had pork with a pasta and broccoli.  The pork had two amazing sauces that my boyfriend I argued over which was the better.  The pasta was okay a bit of a cumin flavor but great once we mixed it with the pork's sauce.  The broccoli was a great fresh touch.   The manager came over and spent some time talking to us more about the menu and plans to open another place with a different menu soon.  A must try if you are a down town kinda person!   The crowd  was a mix of tshirts casual to formal and the patrons ages ranged just as much.  The menu changes with the season so go check it out!  Only complaint I've heard from people I've recommended was the lack of choice if you are a vegetarian.,0.006857,9.9e-05,0.000348,0.000154,0.000542,0.000263,0.000638
"I like that we have a sports venue in the West Valley, I think that this place has tons of more potential but under the current recession it will take time to recover and get the growth we need all around this place.  I love that Cabelas is over here and 2 movie theaters nearby.  I enjoy the food options when we are in this area and sometimes drive out of my way to come here since Park West is also nearby on 101 & Northern.  We came here this weekend and the kids walked around with us and we enjoy all the fountains and the kid area where children can play in the water.",0.00061,0.00013,0.00018,0.000141,0.000175,0.000153,0.00053
"Ive been here twice and my favorite item has been their version of tiramisu. It's not soaked in espresso or whatever the local italian eateries are using these days..it's made with champagne! It's light and fluffy..it's like eating a cloud from heaven. Very much a date place.. It has a ""romantic"" atmosphere so don't go there if you're not trying to give off that vibe. Otherwise great for a group setting..... Oh and for any potential cougars the waitstaff is delicious eye candy. ;)",0.000775,0.000109,0.000177,0.000107,0.000174,0.000142,0.000535
"Downright awesome and extremely hip. A non-traditional, very out there, but very hidden coffee joint.  You can't see this place from the street. It's kind of behind the Buffalo Exchange. It's almost the last place you would expect to find a coffee shop. As soon as you walk in there are really bright and vivid paintings, this is kind of what makes it way out there. Barista was very friendly and asked us how the weather was, always cool to have some small talk instead of the drone, ""what can i get for you..."" Wait, that basically sounds like the boring coffee-grinders at Starbucks.  I gotta have my lattes. I will drink regular coffee sometimes, but my soft spot is a well made latte. Amazing enough, places like Starbucks just don't know how to make lattes, I give up on Starbucks. Their beans suck, and apparently their frothing machines do too, because everytime I go there it seems like they just warm my milk and mix it with some coffee. The latte here was PERFECT. The milk was perfectly frothy, which in my opinion is what makes a latte a latte. Coffee had a nice roasted flavor to it. Amazingly, there are tons of coffee shops out there that can't do decent lattes. This is my new coffee place.  Good music choice here, its like new age elevator music, calm soothing hip hop and pop. Awesome atmosphere, quiet enough to study and have a conversation, yet lively enough to come for just a cup of caffeine. Skip the Starbucks and ""Sex in the City"" sorority girl drinks and come here.  Only problem was that I think they only have small or large lattes, and it was like $4 for a large. That's like $0.50 to a $1 too much in my honest opinion. Oh well, I think I'd still pay that when I'm craving a latte.",0.035837,0.000413,0.01058,0.000328,0.001835,0.000708,0.000523
"I liked the fish.  It was delicious.  The cole slaw was also very tasty.  Not too sweet.  A bit tangy.  I like that.    The shrimp was okay.  A bit rubbery, but then what does one might expect for a seafood place in the middle of a desert?  My biggest problem with this place was the price of the food.  It is just too expensive for what amounts to frozen food plopped into a deep fryer.  I could buy frozen fish at the grocery store and then come home and plop it into my little deep fryer and it would taste about the same and be a lot cheaper.    I just wish it wasn't so expensive.  Especially considering this in the hood.  If you know what I mean.  I don't mind driving down to the hood for some fried fish, but only if it is reasonably priced.",0.000882,0.000115,0.000204,0.000118,0.000177,0.000157,0.000522
"Yoli's has recently been popping up on Yelp's 'Best Of' front page. Many people are mouthing out and as the food whore that I am, I needed to go out and try it for myself.  My previous research told me that there were many 5 stars and 3 stars reviews regarding the ambiance, service and food. It seemed that the place had be 5-stars for a while but trending analysis showed a decline in the late 2011- early 2012. Alright enough nerd talk-  it was a Saturday morning, I was starving and I needed a place to have brunch with my lady friend in town.  When it comes to brunch at Yoli's, you really need to leave all your expectations at the door. The neighborhood its in is a little sub-par, the parking situation isn't grand and the interior and patio decor resembles a home that stopped paying for landscaping services a long time ago. The tables outside are all basic basic plastic, they are not squeaky clean (or perfectly leveled) and the seating is pretty limited. If you are coming to Yoli's, you are coming here for the food and nothing else, this ain't no brunch at the Four Seasons.  Their menus are strictly breakfast/brunch related but at a 2-sided page list, their breakfast choices do have a large variety of flavors and prices. The food is on the stealthier side with skillet dishes, omelets and diner-style potato sides. My friend and I ordered their most popular dish, the El Monte- Hawaiian french toast sandwich filled with egg whites, turkey, bacon and cheese with a 'spicy orange marmalade'. At about $7, the sandwich was pretty large and filled me up easily after just half of it. The french toast itself was soft and spongy and the bacon had some crisp, but the turkey was very thinly-sliced deli meat so it didn't have a lot of flavor and the spicy marmalade was tasty but not spicy at all.  The service was a tad slow but the lady was very very courteous and nice to us, she just didn't stop by very often so we had to wait around for our drinks and our check for quite a while. Overall I wasn't blown away with Yoli's but I would recommend as a place with decent portions and good prices. As of now, a 3.75 stars on my book.  I am a big supporter of local restaurants and I love seeing a family-owned business thrive. With a little bit more decor, faster service and a cleaner environment this place can return to be the GEM that people used to talk about. Yoli, if you are reading this- I hope you take this advice, we all want to see you succeed so we hope you can get back on that horse and impress the hell out of us. Good Luck!!",0.004277,0.000137,0.000684,0.000149,0.000385,0.000217,0.000538
"This is my second time in Chandler for work, and I've been here about four times.  I've basically come here every day during my visits.  It's a great place to have a casual meal and get some more work done.  I like the food and the friendly service, and also refuse to pay for the wireless in my hotel room (even though my employer would reimburse me for it).  Plus, I like the relaxed, community-esque feel of this place.  As for the food, I'd recommend the Tuscan Chicken sandwich - the Ciabatta bread it comes on is really quite delicious, but make sure it's fresh.  salads are simple, but pretty good, and everything tastes fresh.  The chocolate chip cookies are to-die-for.    The people who work here are very friendly.  One guy was particularly helpful and helped me as I contemplated for about five minutes what I should get.  He then came to check how my food was, even though this is a self-service type of place.    I would not recommend the half-sandwich half-salad combo if you're really hungry.  Somehow a whole sandwich seemed more filling to me.  Even though I avoid chain restaurants, I really like this one!  Maybe it's because we don't have one in Northern California, so it still makes me feel like this is ""something different"".",0.000788,0.000119,0.000199,0.000129,0.000178,0.000151,0.000557
The worse food and service. I have never given a bad review. I ordered a shrimp dish with brown rice. The waiter brought out white rice. The sauce was horrible and bland. The calamari salad was not fresh. The dressing was bland too. The waitress checked on us and we asked for check immediately.  She never asked if anything was wrong or if the food was good. I would never recommend or eat here again. The service and food was horrible. I was visiting from out of town and was hoping to get a new experience.  This was not it...,0.001174,0.000102,0.00019,0.000105,0.000195,0.000155,0.000536
"Love the coffee not thrilled about my service. Of the 4-3 times I have been in the barista has never been behind the counter ready to serve me.  Every time that I have walked in they follow me off the patio where they have been smoking.  I know that you are entitled to a break but, sitting out chit chatting with your friends smoking is not what you get paid for.  Either I have bad timing coming in when they are on break or the kids there are huge slackers.",0.028757,0.000122,0.001069,0.000155,0.002055,0.000409,0.000527
"One of my favorite restaurants in the valley. I usually go for the turkey wrap or one of their pizzas. On this day we went for happy hour, which is daily after 9pm and tried several tapas and a 4 peaks beer. Everything was really good.",0.000625,0.000123,0.000185,0.000122,0.000175,0.000145,0.000532
"Absolutely the best sushi in the valley, hands down.  The fish is fresh and their spicy tuna is like no other.  However, the service is extremely slow. We once waited 75 minutes to get our lunch and the restaurant wasn't even full.  Can't say much about the cooked food though, but the sushi is amazing.",0.001083,0.000113,0.000218,0.00011,0.000186,0.000169,0.000531
"The family and I love this place, as does anyone I've taken there.   First time I went I had a cheeseburger pizza - huge and delicious.   Their beer is great too - brewed right on the spot.   My wife loved the fish tacos -- it says a lot about a place that every time you go, everything you try, is fantastic.   You'll pay a little bit, but it's worth it.",0.001098,0.000114,0.000234,0.000117,0.000186,0.000157,0.000528
"I really wanted to have a Birthday cake for Zoey's 4th Birthday and The Bone Appetit Bakery did not disappoint.   With just 24 hour notice I was able to choose a bone shaped cake from one of 2 sizes, I chose the small (see pics) A very tasty Peanut Butter and Honey cake with cream cheese frosting. All natural human grade ingredients, no sugar, salt or additives, Zoey went nuts for it!   I also purchased her a cute little party hat to wear for her birthday (see pics) they even sell invitations if you are planning a big doggy bash! ;-)   Your dog would just Love it if you brought home a Birthday cake for them, or even some of the house made baked treats they sell here.   Go Now!",0.003596,9.2e-05,0.00025,0.00013,0.000326,0.000189,0.000639
"Came here last night with the girlies to satisfy our craving for Indian food.  We've talked about this place for a while, and I'll be damned if I was leaving AZ before stopping by this place!  So luckily, I was able to convince one of the girls that finals are not as important as saying goodbye to me over a plate of curries.  We got their around 8 and the place had a good crowd.  We were the only white girls, so we know we were in for a good meal.  Going over the menu took us a while, because one of the girls had no clue what she wanted, and the server was polite enough to let us take our time.  Before we figured out what we wanted for dinner, of course we had to figure out drinks.  So we all order and still continue to peruse the menu.  Then our drinks came out...huge plus for this place right here, they were huge!  My gin and tonic was in an oversized cocktail glass and my friend's Chardonnay was filled to the brim.  No skimping on alcohol here!  The waiter advised us the drinks were strong, which I was fine with but my girlfriend needed 3 more limes to take hers down.  We finally end up decided on dinner, with the shahih paneer, chicken saag, and vegetable korma, and an order of garlic naan.  I was a little unsure about the paneer, but my girlfriends swore by it.  When the food arrived, we were excited!  Everything smelled so flavorful and the naan was huge, good thing we only got one order.  I loved every single bite I had at dinner, and the feeling was mutual across the table.  All of us ate beyond the point of feeling full, but we couldn't help ourselves!  This food was too good!  Luckily, we were able to stop ourselves and save some food to take home.  I got the chicken saag and I am so excited to have some for my own brunch.  Mmmmm...I'm getting hungry thinking about it now.  Overall, $20 a person including tip, with strong drinks, good food, and extras to take home we were satisfied.",0.004395,0.000142,0.000627,0.000161,0.00037,0.000268,0.000777
"The kids and I LOVE Starbucks but this one leaves a lot to be desired.. We have been here a hand full of time and each time I keep asking myself why do I go back to this one?   The service there is almost rude. They seem as if they are annoyed to be busy. They never seem to be happy to service you. Drinks take forever to make, even though they aren't as busy as other ones are. We won't even go into the fact that my order has been messed up the last 2 times.  The main issue I have is the fact that 3 out of 5 times when sitting and relaxing with a snack, someone has to sweep the floor near me. Really? While I am sitting there?  There are much better Starbucks and I think I am going to try some others locally.   12/06 - The kids and I went in today for our ""snack"" wanted to say things were better today. I am not going to change my rating until after my next visit ;)",0.000633,0.000122,0.00018,0.000126,0.000171,0.000143,0.000564
"Why do you bring in the best bands and then torture me?  Parking is freaking ridiculous, at least I have been enough times to know to leave my car on Mill and walk. Your security people are a bunch of freaking jerks who take their power wayyyy to seriously - take off my shoes? What kind of weapon or drugs can I be hiding in my open toed 2 inch heels? Your sound SUCKS - seriously sucks. For all the fees you charge on top of tickets - buy some new speakers already. The bathrooms are gross Drinks are reasonable so you get 2 stars  (Watch out for the glass walls leading to the patio if you have overindulged in booze.. I've heard they are easy to run in to).",0.847404,0.009805,0.607352,0.002084,0.471132,0.010517,0.000572
"Just had my first hot dog at Short Leash Dogs and quite honestly, I can't call it a ""hot dog"" because that just conjures up images of, well... a hot dog. And Short Leash Dogs are so much more and better than ""a hot dog"" the way most people know hot dogs. Know what I mean? No? Well, go have a Short Leash Dog.   Really unique combinations, various dog options (all local meats and produce) - bratwurst, beer hot, veggie...   My friend and I shared an Aiko (we chose the brat as our dog), with mango chutney, red onions, cilantro, mayo and jalapeño on a naan (you might have read that in other reviews, no traditional buns here!).   You can find the Short Leash Dogs truck at the Phoenix Public Market on Wednesday evenings and Saturday mornings, and if you follow them on Twitter (@shortleashdogs) you can find out when/where else they make regular stops... scottsdale, central phoenix... Track 'em down and eat their food. And talk to them - Brad and Kat are smart enthusiastic folks with a great sense of humor and offer superb food and service! What's not to love?",0.002094,0.000102,0.000272,0.000112,0.000235,0.000173,0.000625
"Kale, miso, shrimp dumplings... all good",0.038371,0.000145,0.001462,0.000189,0.001812,0.000466,0.000649
"These are simply the BEST sandwiches and salads. If you like your food (a) locally grown; (b) freshly made; (c) organic/all natural; and (d) yummy - and who doesn't? - this is the place for you.  Now, admittedly they have something of a soup-nazi routine set up and if you walk in and don't know the drill, it can be confusing.  So pay attention:    1.  Look at menu. 2.  Decide what you want. 3.  Wait your turn to order. 4.  Order (give your name). 5.  Wait your turn to be called to pay the other girl for the order you placed. 6.  Pay her. 7.  Wait until your food is ready. 8.  Leave with your food.  Note that there is no place to sit inside - so you can either sit outside, or, (if it is 157 degrees out that day), see if you can find a place to sit over at LUX, they are very welcoming of Pane Bianco diners.   It's all good.",0.001579,9.6e-05,0.000192,0.000113,0.000212,0.000167,0.00073
"Looking a cutting edge, wanting the best for everyone type of pet boutique you must go to Oliver and Annie's.   Chris, the owner is amazing! He knows his stuff and has the best of the best. There is no pet boutique like his. Urban chic and healthy top draw. He is an amazing supporter of local artists and designers and an absolute delight to know and do business with. His loving nature is endearing!   It's no surprise he just received the ""Best of Phoenix"" award.",0.000614,0.000122,0.000174,0.000127,0.000178,0.000143,0.00059
Nice clean place with good food.  Shrimp burrito - pretty tasty.,0.000862,0.000112,0.000174,0.000117,0.000192,0.000155,0.00059
I just love this place and  I always leave feeling refreshed and relaxed.  Highly recommend any of their spa treatments.,0.000528,0.000143,0.000192,0.000149,0.000176,0.000152,0.000532
"I had a great experience here and was suprised by how charming and clean the spa is inside, given it is right off of busy rural rd!  I had Lana as my manicurist and she gave a GREAT pedicure.  I used a coupon from the ASU Insider's book and got a relaxing, hour long and hot stone pedicure for $18.  I think the normal price is still around $18...maybe $20 for the cheapest one??!!  Lana was super friendly and sweet, and the owner was also very helpful and made me feel comfortable.  I will definitely go back here for a gel mani!!",0.002104,9.5e-05,0.00025,0.000112,0.000235,0.000154,0.000538
"Market Bistro never leaves me disappointed. The people are great. The food is ALWAYS good & it doesn't matter what you get, they will cater to your needs & wants.  Definitely a must if your coming to Phoenix or if you live here, you need to try it.",0.001399,0.000103,0.000182,0.000128,0.000213,0.000168,0.000533
"These are some great cheesesteaks. I have come here multiplier times and have never left unhappy. The staff are nice and the food is delicious.   Also try the 'Cheesesteak Fries' they are freakin amazing! I am glad I work next to this place, always a great lunch.",0.001214,0.0001,0.000189,0.000111,0.000194,0.000146,0.000596
"A few weeks ago, I was receiving quotes to have my AC unit replaced due to the hail storm we had back in October. I had few companies come out but no one and I mean no one was as thorough as Dale with Mason Mechanical was. He spent 90 mins going over everything including climbing in the attic to check things out. He explained the differences between different units as well as what he and his team could do, which included taking out my furnace and installing a new ac/heat unit, pricing. etc.  Fast forward 3 weeks later and I was able to get the appt set up to have my unit installed. Crystal set up everything for me  and she was fabulous, especially since I had to cancel the first time around due to my work schedule. (Thank you for your patience Crystal!!) Mike, the tech who was in charge of installing the new system called me promptly at 7am to let me know he was on his way and would be at my house within 30 mins. Fast forward 10 hours later and my new unit is installed. He explained everything to me including how to work my new programmable thermostat, made sure everything was in working order, sealed off the area in my now new closet (where the furnace was), made sure everything was cleaned up, and was just all around great. I am very happy that it was nice mild day here today because I don't know how they can do this in the summer.  Thank you to the entire team at Mason Mechanical!",0.000609,0.000124,0.000192,0.000124,0.000174,0.000138,0.000608
"OH MAHHH GOSH, what retards they have working here. Came in to pay for my phone bill and literally stood in line for 40 effing minutes. They had TWO ppl out on the sales floor that afternoon and the store was freaking packed. Really? What genius decided to schedule TWO freaking meat-heads who knew diddly squat about anything on a busy Saturday afternoon??? And no, I don't care to upgrade my phone. I JUST WANT TO PAY FOR MY BILL AND GTFO OF THERE!!!! Do you really think that after such poor service I am going to want to up your commission rate by purchasing/upgrading my phone with you? NO.",0.847923,0.008128,0.414327,0.002581,0.520715,0.024187,0.000641
"This place is one of my favorite burger joints.  If you really appreciate a good burger, I don't think you'll be disappointed.  Kobe burger, Double truffle fries, Creme Brulee Shake and just pure joy.  First time, the burger was slightly over cooked for medium rare; but ever since I have been back multiple times and it's been prepared perfectly to my expectations.  I do believe in second chances and they won me over.  I don't get the mushroom on the Kobe; Meat is very tasty and flavorful, no need to add any toppings.  The Samburger and Zinburger are very tasty as well.  Last time I added bacon to the Zinburger, very good, and I do recommend that.  The staff are very attentive to diners needs.  I have tried a few of the Fox-RC and every time has been an excellent experience so far.  (I hope it won't change).  SF definitely has a unique and entrepreneurial vision in food industry which has, and will make him very successful.",0.000592,0.000126,0.000181,0.00013,0.000174,0.000148,0.00056
